Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2009,11,VA,Final,Residential,317347,3019067,3197150,10.51
2009,11,VA,Final,Commercial,268807,3375089,407865,7.96
2009,11,VA,Final,Industrial,92464,1374573,5283,6.73
2009,11,VA,Final,Transportation,1086,13338,1,8.14
2009,11,VA,Final,Other,,,,
2009,11,VT,Final,Residential,23337,156560,307253,14.91
2009,11,VT,Final,Commercial,19617,151524,50472,12.95
2009,11,VT,Final,Industrial,10270,112207,225,9.15
2009,11,VT,Final,Transportation,0,0,0,0
2009,11,VT,Final,Other,,,,
2009,11,WA,Final,Residential,221691,2867105,2792080,7.73
2009,11,WA,Final,Commercial,169906,2354329,349329,7.22
2009,11,WA,Final,Industrial,85570,1888432,24655,4.53
2009,11,WA,Final,Transportation,15,241,6,6.22
2009,11,WA,Final,Other,,,,
2009,11,WI,Final,Residential,202358,1716482,2583449,11.79
2009,11,WI,Final,Commercial,158525,1672233,336441,9.48
2009,11,WI,Final,Industrial,117140,1798720,3992,6.51
2009,11,WI,Final,Transportation,0,0,0,0
2009,11,WI,Final,Other,,,,
2009,11,WV,Final,Residential,73971,881535,866703,8.39
2009,11,WV,Final,Commercial,42136,563241,137209,7.48
2009,11,WV,Final,Industrial,49817,916720,12256,5.43
2009,11,WV,Final,Transportation,30,404,1,7.43
2009,11,WV,Final,Other,,,,
2009,11,WY,Final,Residential,20228,236222,254776,8.56
2009,11,WY,Final,Commercial,25795,351212,59291,7.34
2009,11,WY,Final,Industrial,43661,896544,8649,4.87
2009,11,WY,Final,Transportation,0,0,0,0
2009,11,WY,Final,Other,,,,
2009,10,AK,Final,Residential,27880,165472,271112,16.85
2009,10,AK,Final,Commercial,32261,227968,47428,14.15
2009,10,AK,Final,Industrial,14967,114132,1254,13.11
2009,10,AK,Final,Transportation,0,0,0,0
2009,10,AK,Final,Other,,,,
2009,10,AL,Final,Residential,220870,2124048,2130193,10.4
2009,10,AL,Final,Commercial,164939,1725060,351428,9.56
2009,10,AL,Final,Industrial,128570,2547885,9221,5.05
2009,10,AL,Final,Transportation,0,0,0,0
2009,10,AL,Final,Other,,,,
2009,10,AR,Final,Residential,108114,1163570,1317822,9.29
2009,10,AR,Final,Commercial,71736,963284,177751,7.45
2009,10,AR,Final,Industrial,68463,1279695,33856,5.35
2009,10,AR,Final,Transportation,4,31,2,12.9
2009,10,AR,Final,Other,,,,
